,城市,溫度,溼度,時間
1,基隆市,29~32°,30%,20170606-12:11
2,臺北市,30~34°,30%,20170606-12:11
3,新北市,30~34°,30%,20170606-12:11
4,桃園市,31~34°,30%,20170606-12:11
5,新竹市,30~32°,10%,20170606-12:11
6,新竹縣,30~32°,10%,20170606-12:11
7,苗栗縣,30~32°,10%,20170606-12:11
1,臺中市,31~33°,30%,20170606-12:11
2,彰化縣,30~33°,30%,20170606-12:11
3,南投縣,31~33°,30%,20170606-12:11
4,雲林縣,30~33°,30%,20170606-12:11
5,嘉義市,30~34°,30%,20170606-12:11
6,嘉義縣,30~33°,30%,20170606-12:11
1,宜蘭縣,29~32°,60%,20170606-12:11
2,花蓮縣,28~30°,30%,20170606-12:11
3,臺東縣,29~32°,10%,20170606-12:11
1,臺南市,31~32°,20%,20170606-12:11
2,高雄市,31~32°,10%,20170606-12:11
3,屏東縣,31~34°,30%,20170606-12:11
1,連江縣,26~29°,20%,20170606-12:11
2,金門縣,28~29°,10%,20170606-12:11
3,澎湖縣,28~30°,10%,20170606-12:11
